course_code,course_name,department,teacher,credits,enrollment,class_capacity,teaching_class,campus,course_type,schedule_text,has_virtual_schedule,is_weekend_course,time_bucket
BIO8202,遗传与发育(研）,研究生院,平勇;石毅;郭熙志;秦胜营;张曼菲;吴际;曹骎;李保界,3.0,0,5.0,BIO8202-08000-MO1,闵行,nan,星期四第6-8节{2-17周},False,False,afternoon
BME6009H,生物医学信号处理与数据分析(研）,研究生院,孙俊峰;郭晓莉;金成,3.0,0,5.0,BME6009H-08200-M01,闵行,nan,星期四第6-8节{2-17周},False,False,afternoon
CHEM6506,同步辐射散射技术在高分子科学研究中的应用(研）,研究生院,刘烽,3.0,0,10.0,CHEM6506-11000-M01,闵行,nan,星期四第6-8节{2-17周},False,False,afternoon
EST6805,新型微纳材料与理论设计(研）,研究生院,李金金,3.0,0,10.0,EST6805-03900-M01,闵行,nan,星期四第6-8节{2-17周},False,False,afternoon
EST8702,集成电路高等制造工艺(研）,研究生院,杨卓青,3.0,0,10.0,EST8702-03900-M01,闵行,nan,星期四第6-8节{2-17周},False,False,afternoon
HIS6701,中国近现代史专题研究(研）,研究生院,张佩国,3.0,0,1.0,HIS6701-09000-M01,闵行,nan,星期四第6-8节{2-17周},False,False,afternoon
IST8008,微纳制造与微电子机械系统(研）,研究生院,崔胜胜;刘大生,3.0,0,10.0,IST8008-035-M01,闵行,nan,星期四第6-8节{2-17周},False,False,afternoon
MATH6005H,矩阵理论(研),研究生院,邓大萌,3.0,1,5.0,MATH6005H-M01,闵行,nan,星期四第6-8节{2-17周},False,False,afternoon
MATH6010,图与网络（研）,研究生院,陈黎兴,3.0,1,5.0,MATH6010-03600-M01,闵行,nan,星期四第6-8节{2-17周},False,False,afternoon
MSE6404H,显微学与谱学表征(研）,研究生院,王甫霖;Kolan Madhav Reddy,3.0,0,3.0,MSE6404H-050-M03,闵行,nan,星期四第6-8节{2-17周},False,False,afternoon
MSE8304,有限元与数值模拟(研）,研究生院,胡启;韩先洪,3.0,0,3.0,MSE8304-050-M01,闵行,nan,星期四第6-8节{2-17周},False,False,afternoon
PHY1222,大学物理实验（2）,物理与天文学院,王宇兴,1.0,210,210.0,(2025-2026-1)-PHY1222-04,闵行,"必修,限选",星期四第5-8节{3-9周},False,False,afternoon
PHY1222,大学物理实验（2）,物理与天文学院,王宇兴,1.0,160,210.0,(2025-2026-1)-PHY1222-10,闵行,必修,星期四第5-8节{10-15周},False,False,afternoon
PHY1224H,基础物理实验（荣誉）（2）,致远学院,王宇兴,1.0,37,40.0,(2025-2026-1)-PHY1224H-06,闵行,必修,星期四第5-8节{3-15周},False,False,afternoon
BUSS4701,经管实践调研,安泰经济与管理学院,黄采金,2.0,30,25.0,(2025-2026-1)-BUSS4701-02,徐汇,"必修,限选",星期四第7-9节{1-11周},False,False,afternoon
BIO1652,生命科学导论实验（A类）,生命科学技术学院,欧一新,1.0,25,40.0,(2025-2026-1)-BIO1652-04,闵行,必修,星期四第6-9节{2-6周},False,False,afternoon
BIO1652,生命科学导论实验（A类）,生命科学技术学院,曹阳,1.0,25,20.0,(2025-2026-1)-BIO1652-03,闵行,必修,星期四第6-9节{2-6周},False,False,afternoon
CHEM1302,大学化学实验,化学化工学院,王仕峰,1.0,30,30.0,(2025-2026-1)-CHEM1302-22,闵行,必修,星期四第6-9节{2-6周},False,False,afternoon
